"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"IT'S TIME! #PERSIBDAY IS BACK! #DukungPERSIBDariRumah 🔵",FALSE,0,NA,2021-11-20 13:48:11,FALSE,NA,"1462055171559542797",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KvR_33",0,FALSE,FALSE,NA,NA
"IT'S TIME! #PERSIBDAY IS BACK! #DukungPERSIBDariRumah 🔵",FALSE,0,NA,2021-11-20 13:46:13,FALSE,NA,"1462054676363309056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Riyuwi17",0,FALSE,FALSE,NA,NA
"Big game today. Come on @persib !!!!! #PERSIBDAY",FALSE,0,NA,2021-11-20 13:44:50,FALSE,NA,"1462054329947344903",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RestuAwalliddin",0,FALSE,FALSE,NA,NA
"IT'S TIME! #PERSIBDAY IS BACK! #DukungPERSIBDariRumah 🔵",FALSE,0,NA,2021-11-20 13:44:23,FALSE,NA,"1462054215619006469",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fuad_audah",0,FALSE,FALSE,NA,NA
"Reach your next customer and actionable insights with ""Digital Marketing""
@TanvirHakkani 
#SaturdayThoughts… https://t.co/Pk99XM0LKb",FALSE,1,NA,2021-11-20 13:43:34,TRUE,NA,"1462054010555285508",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TanvirHakkani",0,FALSE,FALSE,NA,NA
"RT @opjee_e: Best Affiliate Marketing Programs 
https://t.co/7CGvhxvWEV
#DigitalMarketing #AffiliateMarketing #affiliateprogram #best #Arca…",FALSE,0,NA,2021-11-20 13:43:31,FALSE,NA,"1462053999289458692",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">AmplifyMarketing</a>","gosquad22",1,TRUE,FALSE,NA,NA
"Best Affiliate Marketing Programs 
https://t.co/7CGvhxvWEV
#DigitalMarketing #AffiliateMarketing #affiliateprogram… https://t.co/saopSzG5fp",FALSE,0,NA,2021-11-20 13:43:30,TRUE,NA,"1462053994130329607",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","opjee_e",1,FALSE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🔵

All eyes on us...

LET'S WIN THIS!

#PERSIB https://t.co/jwUKZ0hxLS",FALSE,0,NA,2021-11-20 13:43:21,FALSE,NA,"1462053957098868739",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ayamgoyeng_",389,TRUE,FALSE,NA,NA
"IT'S TIME! #PERSIBDAY IS BACK! #DukungPERSIBDariRumah 🔵",FALSE,0,NA,2021-11-20 13:42:52,FALSE,NA,"1462053836785274881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tiasanjaya99",0,FALSE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🔵

All eyes on us...

LET'S WIN THIS!

#PERSIB https://t.co/jwUKZ0hxLS",FALSE,0,NA,2021-11-20 13:42:34,FALSE,NA,"1462053760755060740",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cheppyshandy",389,TRUE,FALSE,NA,NA
"#IndonesiaMasters 🏸
#WorldSBKMandalika 🏍⛔
#PERSIBDAY 🔵
#LIVARS 🔴

What a day 🔥",FALSE,0,NA,2021-11-20 13:41:19,FALSE,NA,"1462053444500344832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rianto_17",0,FALSE,FALSE,NA,NA
"Oke I'm done for today next tinggal #PERSIBDAY sama #LIVARS",FALSE,1,NA,2021-11-20 13:35:50,FALSE,NA,"1462052064968642560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cocorobert_",0,FALSE,FALSE,NA,NA
"IT'S TIME! #PERSIBDAY IS BACK! #DukungPERSIBDariRumah 🔵",FALSE,0,NA,2021-11-20 13:34:57,FALSE,NA,"1462051844000083973",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SyahrulSaeful",0,FALSE,FALSE,NA,NA
"IT'S TIME! #PERSIBDAY IS BACK! #DukungPERSIBDariRumah 🔵 @persib",FALSE,0,NA,2021-11-20 13:34:37,FALSE,NA,"1462051758444670976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nojamdongssaeng",0,FALSE,FALSE,NA,NA
